"geoid","name","crime_other","crime_personal","crime_property","density","median_income","unemployed","education"
"060371095001","Block Group 1, Census Tract 1095, Los Angeles County, California",1,59,63,1199,17244,0.07621247113163972286,0.39069767441860465116
"060371095002","Block Group 2, Census Tract 1095, Los Angeles County, California",16,25,,2599,14387,0.04357931435212085997,0.23021060275962236747
"060371095003","Block Group 3, Census Tract 1095, Los Angeles County, California",2,9,22,967,14668,0.09378806333739342266,0.4
"060371096011","Block Group 1, Census Tract 1096.01, Los Angeles County, California",2,17,40,1335,22623,0.02513966480446927374,0.51092233009708737864
"060371096012","Block Group 2, Census Tract 1096.01, Los Angeles County, California",1,18,24,964,26563,0.04359673024523160763,0.45928338762214983713
"060371096013","Block Group 3, Census Tract 1096.01, Los Angeles County, California",13,34,,1547,19404,0.10562837316885119507,0.69644484958979033728
"060371096014","Block Group 4, Census Tract 1096.01, Los Angeles County, California",3,8,30,1364,19081,0.05779334500875656743,0.34471718249733191035
"060371096031","Block Group 1, Census Tract 1096.03, Los Angeles County, California",1,6,28,1057,22212,0.06909090909090909091,0.58998435054773082942
"060371096032","Block Group 2, Census Tract 1096.03, Los Angeles County, California",2,14,,1480,27020,0.0724020442930153322,0.60157016683022571148
"060371096033","Block Group 3, Census Tract 1096.03, Los Angeles County, California",2,36,72,1373,20818,0.09175870858113848768,0.54183266932270916335
"060371096041","Block Group 1, Census Tract 1096.04, Los Angeles County, California",1,41,92,954,19202,0.09768211920529801325,0.46376811594202898551
"060371096042","Block Group 2, Census Tract 1096.04, Los Angeles County, California",6,11,22,1173,27279,0.04051383399209486166,0.6
"060371096043","Block Group 3, Census Tract 1096.04, Los Angeles County, California",39,40,,848,29569,0.04126547455295735901,0.59844961240310077519
"060371097001","Block Group 1, Census Tract 1097, Los Angeles County, California",6,34,66,1535,19392,0.067144136078782453,0.54742268041237113402
"060371097002","Block Group 2, Census Tract 1097, Los Angeles County, California",2,13,25,2003,25431,0.04826802952867688813,0.59830866807610993658
"060371097003","Block Group 3, Census Tract 1097, Los Angeles County, California",8,11,24,917,37809,0.07584269662921348315,0.79930191972076788831
"060371098001","Block Group 1, Census Tract 1098, Los Angeles County, California",4,20,27,1252,31360,0.0635514018691588785,0.63301787592008412198
"060371098002","Block Group 2, Census Tract 1098, Los Angeles County, California",2,10,6,851,23953,0.01136363636363636364,0.74743326488706365503
"060371098003","Block Group 3, Census Tract 1098, Los Angeles County, California",2,28,35,964,43788,0.01373283395755305868,0.70642201834862385321
"060371098004","Block Group 4, Census Tract 1098, Los Angeles County, California",3,19,23,1246,29088,0.05907172995780590717,0.64354066985645933014
"060371111001","Block Group 1, Census Tract 1111, Los Angeles County, California",9,22,72,1416,24948,0.05181818181818181818,0.66856492027334851936
"060371111002","Block Group 2, Census Tract 1111, Los Angeles County, California",4,25,102,1638,36032,0.07792207792207792208,0.53527336860670194004
"060371112011","Block Group 1, Census Tract 1112.01, Los Angeles County, California",6,13,26,1079,32387,0.05555555555555555556,0.79872611464968152866
"060371112012","Block Group 2, Census Tract 1112.01, Los Angeles County, California",14,23,23,1283,30285,0.10373066424021838035,0.57804632426988922457
"060371112013","Block Group 3, Census Tract 1112.01, Los Angeles County, California",8,16,,829,39073,0.03041825095057034221,0.91397849462365591398
"060371112021","Block Group 1, Census Tract 1112.02, Los Angeles County, California",1,21,25,1411,32652,0.0480072463768115942,0.89740932642487046632
"060371112022","Block Group 2, Census Tract 1112.02, Los Angeles County, California",3,37,51,1555,32599,0.02486402486402486402,0.62116991643454038997
"060371112023","Block Group 3, Census Tract 1112.02, Los Angeles County, California",7,47,73,2347,27651,0.0500544069640914037,0.63056888279643591501
"060371112041","Block Group 1, Census Tract 1112.04, Los Angeles County, California",2,30,34,2527,53506,0.07326540514313440078,0.90447761194029850746
"060371112042","Block Group 2, Census Tract 1112.04, Los Angeles County, California",23,27,,2314,33453,0.04155707522356654392,0.88598726114649681529
"060371112043","Block Group 3, Census Tract 1112.04, Los Angeles County, California",6,22,42,1242,67215,0.05088062622309197652,0.80252100840336134454
"060371112051","Block Group 1, Census Tract 1112.05, Los Angeles County, California",2,17,46,1696,31308,0.0363901018922852984,0.93951219512195121951
"060371112052","Block Group 2, Census Tract 1112.05, Los Angeles County, California",1,3,14,703,29615,0.17412935323383084577,0.73465346534653465347
"060371112053","Block Group 3, Census Tract 1112.05, Los Angeles County, California",3,3,,1464,29560,0.0670016750418760469,0.75473684210526315789
"060371112061","Block Group 1, Census Tract 1112.06, Los Angeles County, California",3,5,19,1065,39914,0,0.75921375921375921376
"060371112062","Block Group 2, Census Tract 1112.06, Los Angeles County, California",1,5,13,573,34360,0.10739856801909307876,0.9177377892030848329
"060371112063","Block Group 3, Census Tract 1112.06, Los Angeles County, California",1,12,,494,43582,0.02233250620347394541,0.6526054590570719603
"060371112064","Block Group 4, Census Tract 1112.06, Los Angeles County, California",5,64,70,1007,39388,0.01150747986191024166,0.7763328998699609883
"060371112065","Block Group 5, Census Tract 1112.06, Los Angeles County, California",1,9,19,1513,34627,0.01904761904761904762,0.79532710280373831776
"060371113011","Block Group 1, Census Tract 1113.01, Los Angeles County, California",8,46,43,1521,19617,0.05405405405405405405,0.61627906976744186047
"060371113012","Block Group 2, Census Tract 1113.01, Los Angeles County, California",1,4,12,1662,22090,0.06449375866851595007,0.88558951965065502183
"060371113013","Block Group 3, Census Tract 1113.01, Los Angeles County, California",3,43,70,2787,29282,0.08830121021963245182,0.67302299495232753786
"060371113014","Block Group 4, Census Tract 1113.01, Los Angeles County, California",4,58,87,1630,22855,0.07692307692307692308,0.49161518093556928508
"060371113021","Block Group 1, Census Tract 1113.02, Los Angeles County, California",10,23,,1052,33111,0.04414784394250513347,0.91293833131801692866
"060371113022","Block Group 2, Census Tract 1113.02, Los Angeles County, California",2,60,85,3710,30490,0.06350653296870252203,0.87523020257826887661
"060371114001","Block Group 1, Census Tract 1114, Los Angeles County, California",2,55,90,3154,33651,0.13249892101855848079,0.62638420799229658161
"060371114002","Block Group 2, Census Tract 1114, Los Angeles County, California",7,45,89,2150,29324,0.04192286193404136389,0.64583333333333333333
"060371114003","Block Group 3, Census Tract 1114, Los Angeles County, California",5,9,32,2745,15301,0.08165180666353824496,0.68859897901304594441
"060371131011","Block Group 1, Census Tract 1131.01, Los Angeles County, California",12,23,,1956,43360,0.05672402804333970682,0.63176895306859205776
"060371131012","Block Group 2, Census Tract 1131.01, Los Angeles County, California",3,35,74,1905,26720,0.03371428571428571429,0.76233183856502242152
"060371131021","Block Group 1, Census Tract 1131.02, Los Angeles County, California",26,36,,1644,52622,0.10087719298245614035,0.87986171132238547969
"060371131022","Block Group 2, Census Tract 1131.02, Los Angeles County, California",6,41,62,1301,41231,0.03804347826086956522,0.87614213197969543147
